REFERENCNECISLO;POHLAVIE;VEK;STAVDOKLADU;DANCELKOM;UHRADENACIASTKA;UHRADENACIASTKADOSPLATNOSTI;UHRADENACIASTKAPOSPLATNOSTI;ZOSTAVAUHRADIT;CISLOSPRAVKYNE;INTERVENCIA;PRIZNANIE2021A
68;zena;40;Z;63.0000;0.0000;0.0000;0.0000;63.0000;19;Export DZN B;0
69;muz;41;P;126.1900;126.1900;126.1900;0.0000;0.0000;19;Export DZN B;0
70;muz;74;Z;329.9500;109.9900;109.9900;0.0000;219.9600;19;Export DZN B;0
71;muz;74;P;129.3000;129.3000;129.3000;0.0000;0.0000;19;Export DZN B;0
72;muz;62;Z;85.0000;85.0000;56.6600;28.3400;0.0000;19;Export DZN B;0
73;muz;68;P;127.7200;127.7200;127.7200;0.0000;0.0000;19;Export DZN B;0
74;muz;82;P;23.7600;23.7600;23.7600;0.0000;0.0000;19;Export DZN B;0
75;zena;52;P;18.6200;18.6200;18.6200;0.0000;0.0000;19;Export DZN B;0
76;muz;78;P;86.3800;86.3800;86.3800;0.0000;0.0000;19;Export DZN B;0
77;muz;46;P;61.4700;61.4700;61.4700;0.0000;0.0000;19;Export DZN B;0
78;zena;72;P;18.4000;18.4000;18.4000;0.0000;0.0000;19;Export DZN B;0
79;muz;65;P;105.0000;105.0000;105.0000;0.0000;0.0000;19;Export DZN B;0
80;zena;59;P;95.0500;95.0500;95.0500;0.0000;0.0000;19;Export DZN B;0
81;muz;67;P;30.0700;30.0700;30.0700;0.0000;0.0000;19;Export DZN B;0
82;muz;76;P;31.2000;31.2000;31.2000;0.0000;0.0000;19;Export DZN B;0
83;muz;43;Z;289.7200;289.7200;193.1400;96.5800;0.0000;19;Export DZN B;0
84;zena;70;P;82.4000;82.4000;82.4000;0.0000;0.0000;19;Export DZN B;0
85;muz;95;P;23.9400;23.9400;23.9400;0.0000;0.0000;19;Export DZN B;0
86;muz;75;P;15.4800;15.4800;15.4800;0.0000;0.0000;19;Export DZN B;0
87;zena;64;P;66.5000;66.5000;66.5000;0.0000;0.0000;19;Export DZN B;0
88;muz;75;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
89;zena;69;Z;35.2400;0.0000;0.0000;0.0000;35.2400;19;Export DZN B;0
90;zena;68;Z;78.8000;78.8000;52.5200;26.2800;0.0000;19;Export DZN B;0
91;zena;44;P;105.3800;105.3800;105.3800;0.0000;0.0000;19;Export DZN B;0
92;muz;64;Z;193.2600;64.4200;64.4200;0.0000;128.8400;19;Export DZN B;0
93;muz;42;P;692.9400;692.9400;692.9400;0.0000;0.0000;19;Export DZN B;0
94;muz;52;P;397.3000;397.3000;397.3000;0.0000;0.0000;19;Export DZN B;0
95;muz;73;P;90.7600;90.7600;90.7600;0.0000;0.0000;19;Export DZN B;0
96;muz;67;P;15.4800;15.4800;15.4800;0.0000;0.0000;19;Export DZN B;0
97;zena;62;P;62.7000;62.7000;62.7000;0.0000;0.0000;19;Export DZN B;0
98;zena;75;P;150.6000;150.6000;150.6000;0.0000;0.0000;19;Export DZN B;0
99;zena;62;P;413.4500;413.4500;413.4500;0.0000;0.0000;19;Export DZN B;0
100;zena;65;Z;59.0000;39.3600;39.3600;0.0000;19.6400;19;Export DZN B;0
101;muz;94;S;10.8000;0.0000;0.0000;0.0000;10.8000;19;Export DZN B;0
102;muz;44;P;162.8600;162.8600;162.8600;0.0000;0.0000;19;Export DZN B;0
103;zena;65;Z;411.3000;137.1000;137.1000;0.0000;274.2000;19;Export DZN B;0
104;zena;73;S;111.5800;0.0000;0.0000;0.0000;111.5800;19;Export DZN B;0
105;zena;66;Z;25.0800;16.7200;16.7200;0.0000;8.3600;19;Export DZN B;0
106;zena;75;P;34.7000;34.7000;34.7000;0.0000;0.0000;19;Export DZN B;0
107;muz;81;P;27.3600;27.3600;27.3600;0.0000;0.0000;19;Export DZN B;0
108;muz;83;P;287.7300;287.7300;287.7300;0.0000;0.0000;19;Export DZN B;0
109;zena;77;Z;62.3700;62.3700;62.3700;0.0000;0.0000;19;Export DZN B;0
110;muz;63;P;63.0000;63.0000;63.0000;0.0000;0.0000;19;Export DZN B;0
111;muz;78;Z;24.4800;8.1600;8.1600;0.0000;16.3200;19;Export DZN B;0
112;zena;70;P;85.9900;85.9900;85.9900;0.0000;0.0000;19;Export DZN B;0
113;zena;77;P;19.0000;19.0000;19.0000;0.0000;0.0000;19;Export DZN B;0
114;zena;37;P;43.2000;43.2000;43.2000;0.0000;0.0000;19;Export DZN B;0
115;zena;54;P;67.5000;67.5000;67.5000;0.0000;0.0000;19;Export DZN B;0
116;muz;84;Z;24.8400;0.0000;0.0000;0.0000;24.8400;19;Export DZN B;0
117;muz;49;Z;1021.9000;340.6400;340.6400;0.0000;681.2600;19;Export DZN B;0
118;zena;40;P;554.1100;554.1100;554.1100;0.0000;0.0000;19;Export DZN B;0
119;zena;64;P;19.0800;19.0800;19.0800;0.0000;0.0000;19;Export DZN B;0
120;zena;77;P;47.8800;47.8800;47.8800;0.0000;0.0000;19;Export DZN B;0
121;zena;75;P;28.0800;28.0800;28.0800;0.0000;0.0000;19;Export DZN B;0
122;zena;49;P;62.1000;62.1000;62.1000;0.0000;0.0000;19;Export DZN B;0
123;muz;78;P;27.7200;27.7200;27.7200;0.0000;0.0000;19;Export DZN B;0
124;zena;61;P;70.2000;70.2000;70.2000;0.0000;0.0000;19;Export DZN B;0
125;zena;68;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
126;muz;74;P;92.2200;92.2200;92.2200;0.0000;0.0000;19;Export DZN B;0
127;zena;74;P;94.8800;94.8800;94.8800;0.0000;0.0000;19;Export DZN B;0
128;muz;71;P;126.6200;126.6200;126.6200;0.0000;0.0000;19;Export DZN B;0
129;zena;70;P;134.9900;134.9900;134.9900;0.0000;0.0000;19;Export DZN B;0
130;muz;65;Z;210.0800;140.0800;140.0800;0.0000;70.0000;19;Export DZN B;0
131;muz;61;Z;857.9200;285.9800;285.9800;0.0000;571.9400;19;Export DZN B;0
132;muz;60;P;182.5700;182.5700;182.5700;0.0000;0.0000;19;Export DZN B;0
133;muz;53;P;26.0700;26.0700;26.0700;0.0000;0.0000;19;Export DZN B;0
134;muz;55;Z;424.8800;141.6400;141.6400;0.0000;283.2400;19;Export DZN B;0
135;muz;49;P;286.4200;286.4200;286.4200;0.0000;0.0000;19;Export DZN B;0
136;muz;79;P;39.6000;39.6000;39.6000;0.0000;0.0000;19;Export DZN B;0
137;muz;75;P;46.6200;46.6200;46.6200;0.0000;0.0000;19;Export DZN B;0
138;muz;74;P;51.3600;51.3600;51.3600;0.0000;0.0000;19;Export DZN B;0
139;zena;71;P;59.2900;59.2900;59.2900;0.0000;0.0000;19;Export DZN B;0
140;zena;64;Z;245.6500;82.1400;82.1400;0.0000;163.5100;19;Export DZN B;0
141;muz;71;P;159.4800;159.4800;159.4800;0.0000;0.0000;19;Export DZN B;0
142;muz;65;S;73.8000;0.0000;0.0000;0.0000;73.8000;19;Export DZN B;0
143;zena;57;P;178.3000;178.3000;178.3000;0.0000;0.0000;19;Export DZN B;0
144;muz;61;P;160.8700;160.8700;160.8700;0.0000;0.0000;19;Export DZN B;0
145;zena;70;P;40.5000;40.5000;40.5000;0.0000;0.0000;19;Export DZN B;0
146;muz;68;P;51.1200;51.1200;51.1200;0.0000;0.0000;19;Export DZN B;0
147;zena;52;P;173.1700;173.1700;173.1700;0.0000;0.0000;19;Export DZN B;0
148;muz;72;P;55.8000;55.8000;55.8000;0.0000;0.0000;19;Export DZN B;0
149;muz;53;P;209.4600;209.4600;209.4600;0.0000;0.0000;19;Export DZN B;0
150;zena;55;P;70.3000;70.3000;70.3000;0.0000;0.0000;19;Export DZN B;0
151;muz;59;P;57.6000;57.6000;57.6000;0.0000;0.0000;19;Export DZN B;0
152;zena;66;P;57.9600;57.9600;57.9600;0.0000;0.0000;19;Export DZN B;0
153;muz;48;S;139.2000;0.0000;0.0000;0.0000;139.2000;19;Export DZN B;0
154;zena;65;P;67.5000;67.5000;67.5000;0.0000;0.0000;19;Export DZN B;0
155;muz;64;P;131.1000;131.1000;131.1000;0.0000;0.0000;19;Export DZN B;0
156;muz;57;P;259.3900;259.3900;259.3900;0.0000;0.0000;19;Export DZN B;0
157;muz;65;P;151.5200;151.5200;151.5200;0.0000;0.0000;19;Export DZN B;0
158;muz;64;Z;71.1000;23.7000;23.7000;0.0000;47.4000;19;Export DZN B;0
159;muz;66;P;23.0400;23.0400;23.0400;0.0000;0.0000;19;Export DZN B;0
160;muz;51;P;33.3000;33.3000;33.3000;0.0000;0.0000;19;Export DZN B;0
161;zena;66;P;66.7500;66.7500;66.7500;0.0000;0.0000;19;Export DZN B;0
162;muz;63;Z;72.0000;24.0000;24.0000;0.0000;48.0000;19;Export DZN B;0
163;muz;73;P;24.4800;24.4800;24.4800;0.0000;0.0000;19;Export DZN B;0
164;zena;48;P;36.0000;36.0000;36.0000;0.0000;0.0000;19;Export DZN B;0
165;zena;56;P;60.3000;60.3000;60.3000;0.0000;0.0000;19;Export DZN B;0
166;zena;45;P;80.7000;80.7000;80.7000;0.0000;0.0000;19;Export DZN B;0
167;zena;60;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
168;zena;48;P;153.6300;153.6300;153.6300;0.0000;0.0000;19;Export DZN B;0
169;zena;48;P;126.0000;126.0000;126.0000;0.0000;0.0000;19;Export DZN B;0
170;zena;62;P;31.3500;31.3500;31.3500;0.0000;0.0000;19;Export DZN B;0
171;zena;63;P;31.5000;31.5000;31.5000;0.0000;0.0000;19;Export DZN B;0
172;muz;54;P;24.7000;24.7000;24.7000;0.0000;0.0000;19;Export DZN B;0
173;muz;74;P;28.1600;28.1600;28.1600;0.0000;0.0000;19;Export DZN B;0
174;zena;44;P;126.1000;126.1000;126.1000;0.0000;0.0000;19;Export DZN B;0
175;zena;65;P;47.7000;47.7000;47.7000;0.0000;0.0000;19;Export DZN B;0
176;muz;54;Z;78.2500;0.0000;0.0000;0.0000;78.2500;19;Export DZN B;0
177;zena;71;P;45.4800;45.4800;45.4800;0.0000;0.0000;19;Export DZN B;0
178;zena;70;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
179;muz;63;P;101.7700;101.7700;101.7700;0.0000;0.0000;19;Export DZN B;0
180;muz;77;P;28.1600;28.1600;28.1600;0.0000;0.0000;19;Export DZN B;0
181;zena;46;P;31.5300;31.5300;31.5300;0.0000;0.0000;19;Export DZN B;0
182;muz;43;P;64.6000;64.6000;64.6000;0.0000;0.0000;19;Export DZN B;0
183;muz;48;P;216.3600;216.3600;216.3600;0.0000;0.0000;19;Export DZN B;0
184;muz;83;P;105.5800;105.5800;105.5800;0.0000;0.0000;19;Export DZN B;0
185;muz;70;P;180.9000;180.9000;180.9000;0.0000;0.0000;19;Export DZN B;0
186;muz;50;Z;176.4300;0.0000;0.0000;0.0000;176.4300;19;Export DZN B;0
187;muz;61;Z;3316.2000;1105.4000;1105.4000;0.0000;2210.8000;19;Export DZN B;0
188;zena;71;P;29.5200;29.5200;29.5200;0.0000;0.0000;19;Export DZN B;0
189;muz;76;P;24.4800;24.4800;24.4800;0.0000;0.0000;19;Export DZN B;0
190;zena;41;P;60.3000;60.3000;60.3000;0.0000;0.0000;19;Export DZN B;0
191;zena;52;P;37.8000;37.8000;37.8000;0.0000;0.0000;19;Export DZN B;0
192;muz;40;Z;31.5000;0.0000;0.0000;0.0000;31.5000;19;Export DZN B;0
193;zena;65;P;36.0000;36.0000;36.0000;0.0000;0.0000;19;Export DZN B;0
194;muz;71;P;49.4400;49.4400;49.4400;0.0000;0.0000;19;Export DZN B;0
195;zena;63;P;87.3000;87.3000;87.3000;0.0000;0.0000;19;Export DZN B;0
196;muz;61;P;22.6800;22.6800;22.6800;0.0000;0.0000;19;Export DZN B;0
197;zena;63;P;36.0000;36.0000;36.0000;0.0000;0.0000;19;Export DZN B;0
198;zena;71;P;27.3600;27.3600;27.3600;0.0000;0.0000;19;Export DZN B;0
199;muz;43;P;189.1000;189.1000;189.1000;0.0000;0.0000;19;Export DZN B;0
200;muz;65;P;47.7000;47.7000;47.7000;0.0000;0.0000;19;Export DZN B;0
201;zena;90;P;9.7200;9.7200;9.7200;0.0000;0.0000;19;Export DZN B;0
202;zena;50;P;94.5000;94.5000;94.5000;0.0000;0.0000;19;Export DZN B;0
203;zena;71;P;20.3100;20.3100;20.3100;0.0000;0.0000;19;Export DZN B;0
204;muz;64;P;56.7000;56.7000;56.7000;0.0000;0.0000;19;Export DZN B;0
205;zena;68;P;7.6000;7.6000;7.6000;0.0000;0.0000;19;Export DZN B;0
206;muz;45;P;67.5000;67.5000;67.5000;0.0000;0.0000;19;Export DZN B;0
207;muz;64;P;94.8600;94.8600;94.8600;0.0000;0.0000;19;Export DZN B;0
208;muz;43;P;160.1200;160.1200;160.1200;0.0000;0.0000;19;Export DZN B;0
209;muz;60;P;117.9000;117.9000;117.9000;0.0000;0.0000;19;Export DZN B;0
210;muz;46;P;84.6100;84.6100;84.6100;0.0000;0.0000;19;Export DZN B;0
211;muz;65;P;57.6000;57.6000;57.6000;0.0000;0.0000;19;Export DZN B;0
212;muz;50;P;55.1000;55.1000;55.1000;0.0000;0.0000;19;Export DZN B;0
213;zena;59;Z;99.6300;33.2100;33.2100;0.0000;66.4200;19;Export DZN B;0
214;zena;76;P;24.8400;24.8400;24.8400;0.0000;0.0000;19;Export DZN B;0
215;zena;82;P;53.4000;53.4000;53.4000;0.0000;0.0000;19;Export DZN B;0
216;muz;66;P;69.3000;69.3000;69.3000;0.0000;0.0000;19;Export DZN B;0
217;muz;57;P;57.6000;57.6000;57.6000;0.0000;0.0000;19;Export DZN B;0
218;muz;44;Z;96.1200;64.0800;64.0800;0.0000;32.0400;19;Export DZN B;0
219;zena;44;Z;120.9000;40.3000;40.3000;0.0000;80.6000;19;Export DZN B;0
220;muz;53;P;192.3700;192.3700;192.3700;0.0000;0.0000;19;Export DZN B;0
221;muz;50;P;68.6400;68.6400;68.6400;0.0000;0.0000;19;Export DZN B;0
222;zena;56;P;56.7000;56.7000;56.7000;0.0000;0.0000;19;Export DZN B;0
223;zena;67;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
224;zena;70;P;78.1200;78.1200;78.1200;0.0000;0.0000;19;Export DZN B;0
225;muz;45;P;61.2000;61.2000;61.2000;0.0000;0.0000;19;Export DZN B;0
226;zena;43;P;51.3000;51.3000;51.3000;0.0000;0.0000;19;Export DZN B;0
227;muz;50;P;62.1000;62.1000;62.1000;0.0000;0.0000;19;Export DZN B;0
228;zena;70;P;55.2500;55.2500;55.2500;0.0000;0.0000;19;Export DZN B;0
229;muz;46;P;60.3000;60.3000;60.3000;0.0000;0.0000;19;Export DZN B;0
230;muz;45;Z;31.5000;31.5000;21.0000;10.5000;0.0000;19;Export DZN B;0
231;muz;40;Z;145.5900;145.5900;97.0600;48.5300;0.0000;19;Export DZN B;0
232;muz;61;P;63.0000;63.0000;63.0000;0.0000;0.0000;19;Export DZN B;0
233;zena;41;P;60.3000;60.3000;60.3000;0.0000;0.0000;19;Export DZN B;0
234;muz;58;P;57.6000;57.6000;57.6000;0.0000;0.0000;19;Export DZN B;0
235;zena;55;P;284.3300;284.3300;284.3300;0.0000;0.0000;19;Export DZN B;0
236;muz;68;P;49.7700;49.7700;49.7700;0.0000;0.0000;19;Export DZN B;0
237;muz;66;Z;73.7500;24.6100;24.6100;0.0000;49.1400;19;Export DZN B;0
238;muz;67;P;147.2900;147.2900;147.2900;0.0000;0.0000;19;Export DZN B;0
239;zena;66;P;956.8900;956.8900;956.8900;0.0000;0.0000;19;Export DZN B;0
240;muz;62;P;111.7700;111.7700;111.7700;0.0000;0.0000;19;Export DZN B;0
241;muz;79;P;163.6800;163.6800;163.6800;0.0000;0.0000;19;Export DZN B;0
242;muz;68;P;24.8400;24.8400;24.8400;0.0000;0.0000;19;Export DZN B;0
243;zena;66;P;86.2200;86.2200;86.2200;0.0000;0.0000;19;Export DZN B;0
244;muz;79;P;47.7000;47.7000;47.7000;0.0000;0.0000;19;Export DZN B;0
245;muz;75;P;17.2800;17.2800;17.2800;0.0000;0.0000;19;Export DZN B;0
246;zena;71;P;78.2700;78.2700;78.2700;0.0000;0.0000;19;Export DZN B;0
247;muz;83;P;147.1700;147.1700;147.1700;0.0000;0.0000;19;Export DZN B;0
248;muz;74;P;90.9900;90.9900;90.9900;0.0000;0.0000;19;Export DZN B;0
249;muz;89;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
250;muz;79;P;27.0000;27.0000;27.0000;0.0000;0.0000;19;Export DZN B;0
251;muz;66;P;56.1600;56.1600;56.1600;0.0000;0.0000;19;Export DZN B;0
252;muz;83;P;64.1600;64.1600;64.1600;0.0000;0.0000;19;Export DZN B;0
253;zena;79;P;102.3100;102.3100;102.3100;0.0000;0.0000;19;Export DZN B;0
254;muz;61;P;79.7200;79.7200;79.7200;0.0000;0.0000;19;Export DZN B;0
255;zena;77;P;71.8200;71.8200;71.8200;0.0000;0.0000;19;Export DZN B;0
256;muz;70;P;25.5600;25.5600;25.5600;0.0000;0.0000;19;Export DZN B;0
